Wall time,Step,Value
1738667417.332893,0,2.8433082859424146e-16
1738667476.000714,3,8.937777185025197e-10
1738667496.3408947,4,9.884918108582497e-05
1738667630.20774,10,0.005663595627993345
1738667654.6332264,11,0.0027894333470612764
1738667730.375276,14,0.016862161457538605
1738667756.3001933,15,0.011928590014576912
1738667834.076229,18,0.01341601274907589
1738667860.1974318,19,0.015886135399341583
1738667886.423472,20,0.01296924240887165
1738667939.0933535,22,0.015238804742693901
1738667965.2664049,23,0.037300754338502884
1738668044.7340214,26,0.02364708110690117
1738668070.9299202,27,0.02006090246140957
1738668228.6365669,33,0.030535494908690453
1738668308.084095,36,0.02647503837943077
1738668334.5370524,37,0.05562430992722511
1738668361.0773149,38,0.03652096539735794
1738668387.312613,39,0.05702991783618927
1738668413.641867,40,0.039575207978487015
1738668598.9539883,47,0.055769409984350204
1738668625.4427195,48,0.04751504585146904
1738668652.0789082,49,0.053887490183115005
1738668705.025721,51,0.07265640050172806
1738668731.249447,52,0.03542434424161911
1738668784.151552,54,0.05906632915139198
1738668863.1450338,57,0.05604802444577217
1738668942.1647677,60,0.06021219119429588
1738668968.562491,61,0.07929947972297668
1738668995.094471,62,0.07510872185230255
1738669021.1493192,63,0.07831975072622299
1738669073.561241,65,0.07119109481573105
1738669099.6525156,66,0.08148763328790665
1738669125.7703598,67,0.08138492703437805
1738669152.2079718,68,0.07930846512317657
1738669204.3390727,70,0.07697736471891403
1738669230.356132,71,0.06662425398826599
1738669387.2188005,77,0.09391287714242935
1738669439.557233,79,0.07901035249233246
1738669465.6556027,80,0.10973923653364182
1738669518.1722496,82,0.11425682157278061
1738669544.4485574,83,0.08219318091869354
1738669596.854416,85,0.09359859675168991
1738669700.9985065,89,0.08625303953886032
1738669727.2455394,90,0.10969709604978561
1738669857.8657088,95,0.10185008496046066
1738669962.0412257,99,0.11570563167333603
1738669988.0814626,100,0.14262905716896057
1738670066.826592,103,0.1498493105173111
1738670144.8808277,106,0.12779363989830017
1738670171.1934583,107,0.11420213431119919
1738670223.6073895,109,0.12426459789276123
1738670353.824038,114,0.17782112956047058
1738670406.3724792,116,0.1544570028781891
1738670536.550834,121,0.14418108761310577
1738670640.3839731,125,0.18661081790924072
1738670666.3614845,126,0.15126949548721313
1738670718.676954,128,0.13423371315002441
1738670770.995634,130,0.1981477290391922
1738670797.0909445,131,0.14652790129184723
1738670823.2202163,132,0.1703622043132782
1738670928.2734702,136,0.20921489596366882
1738670954.5181572,137,0.19844475388526917
1738671111.6332278,143,0.17636021971702576
1738671137.8017166,144,0.19442079961299896
1738671190.231433,146,0.19973106682300568
1738671216.340079,147,0.18681903183460236
1738671294.7933779,150,0.18879790604114532
1738671477.4263682,157,0.2117937058210373
1738671529.6441085,159,0.17340512573719025
1738671555.8088994,160,0.2114953100681305
1738671608.202277,162,0.23088914155960083
1738671660.1572208,164,0.24962063133716583
1738671712.2141867,166,0.2401585578918457
1738671816.894198,170,0.23618607223033905
1738671843.126956,171,0.2332816869020462
1738671869.3158774,172,0.19144754111766815
1738671947.4811697,175,0.21363797783851624
1738671973.5735648,176,0.21037332713603973
1738671999.4498878,177,0.24107500910758972
1738672025.6926382,178,0.2548922002315521
1738672077.7985213,180,0.23693379759788513
1738672103.938147,181,0.2536255419254303
1738672182.3215654,184,0.19742406904697418
1738672208.7893262,185,0.26642632484436035
1738672234.9463928,186,0.22856120765209198
1738672313.063552,189,0.22017844021320343
1738672339.4113576,190,0.22576016187667847
1738672365.6009736,191,0.2019556760787964
1738672391.7067492,192,0.29403454065322876
1738672470.1379774,195,0.29717567563056946
1738672574.5943065,199,0.2494925856590271
1738672600.6353128,200,0.3118096590042114
1738672652.583843,202,0.22774629294872284
1738672678.5122294,203,0.2825014591217041
1738672704.5490792,204,0.2709812819957733
