Wall time,Step,Value
1738667417.3314211,0,-5.112886428833008
1738667475.9993482,3,-4.768335819244385
1738667496.3395975,4,-4.683444023132324
1738667630.2056968,10,-3.3355212211608887
1738667654.6319578,11,-3.210458278656006
1738667730.3731086,14,-2.7230842113494873
1738667756.298162,15,-2.6290602684020996
1738667834.0742838,18,-2.3705203533172607
1738667860.1954591,19,-2.355604887008667
1738667886.4216802,20,-2.321866512298584
1738667939.0914636,22,-2.2475152015686035
1738667965.2647932,23,-2.155768394470215
1738668044.7325222,26,-2.0509583950042725
1738668070.927917,27,-1.953812599182129
1738668228.6348267,33,-1.6682374477386475
1738668308.0820813,36,-1.5360524654388428
1738668334.535403,37,-1.490531325340271
1738668361.075695,38,-1.4530055522918701
1738668387.3108454,39,-1.4431204795837402
1738668413.6399698,40,-1.4071829319000244
1738668598.9521613,47,-1.2421534061431885
1738668625.4408534,48,-1.253408432006836
1738668652.0770724,49,-1.1878790855407715
1738668705.0239882,51,-1.1747000217437744
1738668731.2473452,52,-1.2004196643829346
1738668784.1496427,54,-1.1506154537200928
1738668863.143298,57,-1.1930820941925049
1738668942.1628306,60,-1.2164838314056396
1738668968.5607193,61,-1.200299620628357
1738668995.0926464,62,-1.1932073831558228
1738669021.147414,63,-1.236982822418213
1738669073.5595636,65,-1.2558157444000244
1738669099.6506803,66,-1.2406232357025146
1738669125.7684684,67,-1.2491505146026611
1738669152.2060711,68,-1.2974555492401123
1738669204.3374248,70,-1.2673366069793701
1738669230.3547773,71,-1.261085867881775
1738669387.2174258,77,-1.290008783340454
1738669439.5554721,79,-1.2880356311798096
1738669465.6543128,80,-1.277468204498291
1738669518.1708047,82,-1.2757906913757324
1738669544.4469507,83,-1.3046047687530518
1738669596.8528132,85,-1.2591274976730347
1738669700.9968686,89,-1.2705001831054688
1738669727.2439206,90,-1.2844284772872925
1738669857.8640366,95,-1.27327299118042
1738669962.039649,99,-1.255731463432312
1738669988.079778,100,-1.2369105815887451
1738670066.8249884,103,-1.1513773202896118
1738670144.8792443,106,-1.1878833770751953
1738670171.1918921,107,-1.1019346714019775
1738670223.6054738,109,-1.1664397716522217
1738670353.8224175,114,-1.0999363660812378
1738670406.3709092,116,-1.144262671470642
1738670536.5488932,121,-1.156962513923645
1738670640.38233,125,-1.1056400537490845
1738670666.3604522,126,-1.0704715251922607
1738670718.6751719,128,-1.074648380279541
1738670770.9941838,130,-1.0543467998504639
1738670797.0889146,131,-1.049060344696045
1738670823.2185607,132,-1.028275728225708
1738670928.2719548,136,-1.0638529062271118
1738670954.516056,137,-1.0493650436401367
1738671111.6316955,143,-1.021824836730957
1738671137.7997808,144,-0.9817721247673035
1738671190.2296295,146,-0.9532188773155212
1738671216.3384032,147,-0.9747418761253357
1738671294.7919629,150,-0.9104435443878174
1738671477.424575,157,-0.8918752670288086
1738671529.6423864,159,-0.8670679926872253
1738671555.8068244,160,-0.9136662483215332
1738671608.2004874,162,-0.9185764193534851
