Wall time,Step,Value
1738667417.3319519,0,-0.6640575528144836
1738667475.9994993,3,-0.587006688117981
1738667496.3400514,4,-0.5483784079551697
1738667630.2063699,10,-0.2945937514305115
1738667654.632108,11,-0.2626889944076538
1738667730.3736093,14,-0.1836913675069809
1738667756.2988605,15,-0.16946187615394592
1738667834.0748959,18,-0.13182607293128967
1738667860.1960576,19,-0.12643347680568695
1738667886.422177,20,-0.12154780328273773
1738667939.0920293,22,-0.11028365790843964
1738667965.2653358,23,-0.10597310960292816
1738668044.7327871,26,-0.09888579696416855
1738668070.9282465,27,-0.09834390878677368
1738668228.6354222,33,-0.09191346168518066
1738668308.0827148,36,-0.08829858899116516
1738668334.5359564,37,-0.08993329852819443
1738668361.076219,38,-0.0892396792769432
1738668387.3114612,39,-0.09052374213933945
1738668413.6405933,40,-0.08928897231817245
1738668598.9525435,47,-0.08316848427057266
1738668625.4414375,48,-0.08198687434196472
1738668652.0776918,49,-0.07940363883972168
1738668705.0245812,51,-0.08104602992534637
1738668731.2480505,52,-0.08112435042858124
1738668784.1502845,54,-0.08149442076683044
1738668863.1437984,57,-0.08467887341976166
1738668942.1634207,60,-0.08500273525714874
1738668968.561342,61,-0.0873124748468399
1738668995.0932407,62,-0.08489003032445908
1738669021.1480803,63,-0.08979195356369019
1738669073.5599058,65,-0.0909576416015625
1738669099.6511183,66,-0.08787381649017334
1738669125.768967,67,-0.08920222520828247
1738669152.2066834,68,-0.08978736400604248
1738669204.3379693,70,-0.08674817532300949
1738669230.35502,71,-0.08813127130270004
1738669387.217735,77,-0.08487441390752792
1738669439.5559645,79,-0.08421407639980316
1738669465.6545641,80,-0.08038309961557388
1738669518.1711955,82,-0.0823347270488739
1738669544.4474564,83,-0.0827590674161911
1738669596.8533397,85,-0.07923193275928497
1738669700.9973655,89,-0.07886999845504761
1738669727.2444372,90,-0.07860427349805832
1738669857.864461,95,-0.07418525218963623
1738669962.0402055,99,-0.07384179532527924
1738669988.0804055,100,-0.07362265884876251
1738670066.8255112,103,-0.06877489387989044
1738670144.8797293,106,-0.06770221889019012
1738670171.1923902,107,-0.06889915466308594
1738670223.606083,109,-0.0681098997592926
1738670353.8229294,114,-0.06483739614486694
1738670406.3714342,116,-0.06661312282085419
1738670536.549463,121,-0.06569894403219223
1738670640.382606,125,-0.06448035687208176
1738670666.3606946,126,-0.06456693261861801
1738670718.6757514,128,-0.0648714154958725
1738670770.9945543,130,-0.06379594653844833
1738670797.0895123,131,-0.06257332861423492
1738670823.2191215,132,-0.06187069043517113
1738670928.2724628,136,-0.06325172632932663
1738670954.5164,137,-0.0603005588054657
1738671111.6318736,143,-0.062377747148275375
1738671137.80043,144,-0.06222567707300186
1738671190.2303376,146,-0.0602303072810173
1738671216.3389533,147,-0.059892766177654266
1738671294.7921715,150,-0.05847742408514023
1738671477.4251647,157,-0.05727814882993698
1738671529.6428363,159,-0.05671245977282524
1738671555.80749,160,-0.05675756558775902
1738671608.2010906,162,-0.057666029781103134
1738671660.1559927,164,-0.0577751025557518
1738671712.2129288,166,-0.05723825842142105
1738671816.89284,170,-0.05551862344145775
1738671843.1255817,171,-0.056084178388118744
1738671869.3147388,172,-0.05513309687376022
1738671947.4799294,175,-0.05573584884405136
1738671973.5723689,176,-0.055645447224378586
1738671999.448764,177,-0.05414864420890808
1738672025.6912444,178,-0.05485772341489792
1738672077.797178,180,-0.05344006419181824
1738672103.9370322,181,-0.05398442968726158
1738672182.3205113,184,-0.055183351039886475
1738672208.7882872,185,-0.05684264749288559
1738672234.9453762,186,-0.055432140827178955
1738672313.0624938,189,-0.05356815457344055
1738672339.4099534,190,-0.0540485605597496
1738672365.599734,191,-0.05279938504099846
1738672391.7055964,192,-0.053415171802043915
1738672470.136871,195,-0.05271255224943161
