Wall time,Step,Value
1738667417.3323572,0,0.0
1738667475.9997957,3,0.0
1738667496.3403022,4,0.0
1738667630.2068894,10,-0.0029304735362529755
1738667654.6322675,11,-0.008027554489672184
1738667730.3743062,14,-0.036162104457616806
1738667756.299313,15,-0.03847740963101387
1738667834.0754223,18,-0.10707258433103561
1738667860.1965046,19,-0.1291196495294571
1738667886.4226458,20,-0.13319391012191772
1738667939.092478,22,-0.1698213517665863
1738667965.2655733,23,-0.16678914427757263
1738668044.7331095,26,-0.19040870666503906
1738668070.92904,27,-0.1860097050666809
1738668228.635713,33,-0.17442190647125244
1738668308.0832877,36,-0.19629870355129242
1738668334.5362322,37,-0.1603703796863556
1738668361.0765164,38,-0.17994503676891327
1738668387.3117392,39,-0.19017818570137024
1738668413.6410272,40,-0.1771613359451294
1738668598.9531648,47,-0.17392674088478088
1738668625.4419246,48,-0.1851474940776825
1738668652.0781147,49,-0.18723642826080322
1738668705.0248828,51,-0.17473606765270233
1738668731.2486243,52,-0.15654103457927704
1738668784.150738,54,-0.1420149952173233
1738668863.144163,57,-0.12383337318897247
1738668942.163968,60,-0.13109736144542694
1738668968.5616734,61,-0.10907469689846039
1738668995.0936303,62,-0.1281808614730835
1738669021.1485157,63,-0.11582541465759277
1738669073.5602431,65,-0.11470864713191986
1738669099.6516979,66,-0.12516391277313232
1738669125.7695625,67,-0.11346191167831421
1738669152.2071335,68,-0.10998271405696869
1738669204.3382454,70,-0.10362306237220764
1738669230.3552513,71,-0.08951999992132187
1738669387.2179954,77,-0.10310909152030945
1738669439.5564141,79,-0.07702767103910446
1738669465.654838,80,-0.09125900268554688
1738669518.1714456,82,-0.08005234599113464
1738669544.4477446,83,-0.08297908306121826
1738669596.8536143,85,-0.08933097124099731
1738669700.9976568,89,-0.08542931079864502
1738669727.2447183,90,-0.09417398273944855
1738669857.864898,95,-0.06451188027858734
1738669962.0404685,99,-0.06830011308193207
1738669988.0806675,100,-0.05985730513930321
1738670066.8257987,103,-0.060027264058589935
1738670144.8800368,106,-0.06397103518247604
1738670171.1926734,107,-0.05606301128864288
1738670223.6065292,109,-0.07079996913671494
1738670353.8232405,114,-0.07095914334058762
1738670406.371662,116,-0.062329426407814026
1738670536.5498357,121,-0.06617850065231323
1738670640.3829222,125,-0.06262091547250748
1738670666.3609328,126,-0.06621432304382324
1738670718.6761615,128,-0.06123245507478714
1738670770.9948492,130,-0.06974712014198303
1738670797.0900755,131,-0.06182268261909485
1738670823.219444,132,-0.06894292682409286
1738670928.2726672,136,-0.07117445766925812
1738670954.5171146,137,-0.060932449996471405
1738671111.632403,143,-0.06521478295326233
1738671137.8008645,144,-0.08474378287792206
1738671190.2306104,146,-0.06275546550750732
1738671216.3392613,147,-0.06312690675258636
1738671294.7925298,150,-0.07401849329471588
1738671477.4255905,157,-0.07284867018461227
1738671529.6433065,159,-0.07343283295631409
1738671555.8080451,160,-0.07092267274856567
1738671608.201687,162,-0.06992809474468231
1738671660.1564364,164,-0.059818755835294724
1738671712.213374,166,-0.06933793425559998
1738671816.8934205,170,-0.060095250606536865
1738671843.1260781,171,-0.0648854449391365
1738671869.3150043,172,-0.055743567645549774
1738671947.4803603,175,-0.057795993983745575
1738671973.572768,176,-0.06003656983375549
1738671999.4490652,177,-0.06685784459114075
1738672025.6918519,178,-0.06528407335281372
1738672077.7977183,180,-0.07341282069683075
1738672103.9372256,181,-0.0677969679236412
1738672182.3207943,184,-0.06191297620534897
1738672208.7885242,185,-0.06634077429771423
1738672234.9455876,186,-0.05882842466235161
1738672313.0626967,189,-0.07022520899772644
1738672339.410195,190,-0.06756394356489182
1738672365.6001868,191,-0.04959661886096001
1738672391.706157,192,-0.056998878717422485
1738672470.1371431,195,-0.05421872064471245
1738672574.5937061,199,-0.04469744488596916
1738672600.6344934,200,-0.052320294082164764
1738672652.5830953,202,-0.05680536478757858
1738672678.5116498,203,-0.0592743419110775
1738672704.5482023,204,-0.05860043689608574
1738672730.4937367,205,-0.06066318601369858
1738672782.5232005,207,-0.06591938436031342
1738672834.8525255,209,-0.06694048643112183
1738672886.8819494,211,-0.05342559143900871
1738672938.703471,213,-0.05539098009467125
1738672990.7819438,215,-0.07339127361774445
1738673016.894907,216,-0.059051524847745895
1738673068.8638809,218,-0.051568031311035156
1738673094.8412967,219,-0.06169890612363815
1738673120.7804968,220,-0.06757985055446625
1738673146.9525464,221,-0.053702764213085175
1738673173.075657,222,-0.06948839873075485
1738673225.1136067,224,-0.06789882481098175
1738673251.1167421,225,-0.05465772747993469
1738673355.4054937,229,-0.05323009192943573
1738673511.8387911,235,-0.05506689101457596
1738673564.0060506,237,-0.056972965598106384
1738673590.1018856,238,-0.05867258459329605
1738673616.1115308,239,-0.05247218534350395
1738673668.5360355,241,-0.055287208408117294
1738673694.6621432,242,-0.06162711977958679
1738673746.753511,244,-0.06408359855413437
1738673772.9230504,245,-0.05877998098731041
1738673798.9858406,246,-0.06297112256288528
1738673825.1233525,247,-0.05631159991025925
1738673955.8696244,252,-0.057235341519117355
1738673982.0653532,253,-0.06737764924764633
1738674008.0284677,254,-0.057137444615364075
1738674086.4074266,257,-0.0513971745967865
1738674112.4966555,258,-0.05755120515823364
1738674138.7008803,259,-0.047989752143621445
1738674164.932474,260,-0.05717145651578903
1738674217.1223638,262,-0.05379218980669975
1738674425.8220105,270,-0.05635662004351616
1738674451.9139402,271,-0.053394805639982224
1738674529.5631375,274,-0.05170346423983574
1738674555.527614,275,-0.06002267450094223
1738674581.57238,276,-0.05300126597285271
1738674633.5959198,278,-0.05780549347400665
1738674685.6239226,280,-0.07318470627069473
1738674737.6845202,282,-0.06052526831626892
1738674763.7063336,283,-0.05686994642019272
1738674815.8698308,285,-0.06788651645183563
1738674868.2828224,287,-0.06713084876537323
1738674894.4012263,288,-0.0631333589553833
1738674946.5473733,290,-0.06082436442375183
1738675076.3822825,295,-0.05214837193489075
1738675102.4334314,296,-0.06283904612064362
1738675128.3814318,297,-0.06299078464508057
1738675154.306666,298,-0.05807335674762726
1738675310.124202,304,-0.05612551420927048
1738675362.290325,306,-0.047228436917066574
1738675414.3839664,308,-0.05629145726561546
1738675440.3278637,309,-0.049552466720342636
1738675518.483637,312,-0.06787672638893127
1738675544.7209268,313,-0.06497667729854584
1738675622.537333,316,-0.06983035057783127
1738675674.368845,318,-0.06212053447961807
1738675700.233206,319,-0.05084704980254173
1738675778.4010046,322,-0.06770014017820358
1738675830.440155,324,-0.06734734773635864
1738675960.6304762,329,-0.05594387650489807
1738675986.6198497,330,-0.059168633073568344
1738676012.6714408,331,-0.056301891803741455
1738676038.60906,332,-0.05611192807555199
1738676168.4523842,337,-0.06145875155925751
1738676194.3477194,338,-0.05470488220453262
1738676246.1371922,340,-0.06258285045623779
1738676324.365662,343,-0.058254193514585495
1738676350.3302455,344,-0.06535227596759796
1738676376.382266,345,-0.06122087687253952
1738676402.320153,346,-0.06289336085319519
1738676454.3431537,348,-0.06171440705657005
1738676506.2398112,350,-0.06659621000289917
1738676558.1117084,352,-0.05214468389749527
1738676584.217314,353,-0.07085712254047394
1738676610.2005177,354,-0.061914216727018356
1738676714.1748586,358,-0.06503242254257202
1738676766.1617217,360,-0.06399958580732346
1738676818.0374954,362,-0.049944356083869934
1738676844.0882354,363,-0.06243700534105301
1738676869.9248822,364,-0.06292685866355896
1738676895.9366744,365,-0.051675718277692795
1738676921.7960813,366,-0.06494679301977158
1738676947.7006845,367,-0.06275011599063873
1738676973.5906553,368,-0.061695538461208344
1738677130.139552,374,-0.058441437780857086
1738677207.831508,377,-0.05582159757614136
1738677233.641303,378,-0.053261857479810715
1738677414.8791115,385,-0.05644126981496811
1738677440.763233,386,-0.06407987326383591
1738677544.3331351,390,-0.05885976180434227
1738677570.2308085,391,-0.06794951111078262
1738677596.1942797,392,-0.07154987007379532
1738677622.1078815,393,-0.053849831223487854
1738677648.013422,394,-0.051522787660360336
1738677673.870822,395,-0.06565319001674652
1738677699.8188052,396,-0.05541405826807022
1738677725.5842829,397,-0.0585465244948864
1738677751.5088353,398,-0.05725247785449028
1738677777.3975506,399,-0.0564330518245697
1738677829.3643942,401,-0.06632792949676514
1738677855.0340261,402,-0.05950198695063591
1738677906.9113197,404,-0.06680475175380707
1738678010.477632,408,-0.06256254017353058
1738678036.4293036,409,-0.053999390453100204
1738678114.169789,412,-0.05383777245879173
1738678140.1687343,413,-0.04871993511915207
1738678166.0875642,414,-0.05014412850141525
1738678192.0214336,415,-0.06132104620337486
1738678269.6946545,418,-0.061623673886060715
1738678347.378568,421,-0.05472477525472641
1738678373.1928742,422,-0.06495530158281326
1738678450.947278,425,-0.0644288957118988
1738678476.574013,426,-0.056991152465343475
1738678580.3455324,430,-0.0672251433134079
1738678606.3071806,431,-0.06754277646541595
1738678684.221689,434,-0.06307917088270187
1738678710.1850824,435,-0.053167812526226044
1738678736.1524115,436,-0.06374155730009079
1738678762.1110587,437,-0.05334420129656792
1738678787.9228766,438,-0.050942957401275635
1738678813.918512,439,-0.05537542700767517
1738678839.9044218,440,-0.060219865292310715
1738678865.8810453,441,-0.06404586136341095
1738678917.510852,443,-0.07557275146245956
1738678943.51727,444,-0.06990176439285278
1738678969.4687295,445,-0.05177675932645798
1738678995.47503,446,-0.06671437621116638
1738679099.0221143,450,-0.06257236748933792
1738679125.048702,451,-0.05488020181655884
1738679150.9722757,452,-0.05956155061721802
1738679176.9601085,453,-0.05583038181066513
1738679202.7931247,454,-0.0573100745677948
1738679254.5521848,456,-0.05404084548354149
1738679306.4220395,458,-0.07253122329711914
1738679358.4676175,460,-0.06452884525060654
1738679384.5459528,461,-0.04723485931754112
1738679462.4169986,464,-0.054632000625133514
1738679488.4469924,465,-0.06529386341571808
1738679514.3368788,466,-0.058560561388731
1738679566.3308618,468,-0.05794821307063103
1738679618.24076,470,-0.061246972531080246
1738679722.1734812,474,-0.06568484753370285
1738679748.1297252,475,-0.07165801525115967
1738679825.8662932,478,-0.06470473855733871
1738679851.79968,479,-0.0610247366130352
1738679877.6588132,480,-0.05146589130163193
1738679903.5927982,481,-0.05919104814529419
1738679929.358639,482,-0.059268396347761154
1738679955.400182,483,-0.04784258455038071
1738679981.436641,484,-0.0566176101565361
1738680033.4197104,486,-0.05603897571563721
1738680059.2976294,487,-0.07557129859924316
1738680085.2160296,488,-0.052746936678886414
1738680111.0447192,489,-0.05966214835643768
1738680162.7778146,491,-0.05900915712118149
1738680240.4520314,494,-0.05621395632624626
1738680344.0176117,498,-0.0545913390815258
1738680421.7866518,501,-0.07026701420545578
1738680447.536747,502,-0.05161583423614502
1738680473.1678236,503,-0.04885733127593994
1738680550.7545977,506,-0.059586163610219955
1738680602.452163,508,-0.055614154785871506
1738680628.3397927,509,-0.059383880347013474
1738680654.0362613,510,-0.06096544489264488
1738680679.931338,511,-0.0677097886800766
1738680705.7672718,512,-0.06127738207578659
1738680731.604887,513,-0.05776403471827507
1738680757.4090366,514,-0.05697212740778923
1738680835.0463488,517,-0.056896232068538666
1738680860.7708204,518,-0.06363409012556076
1738680886.577178,519,-0.05126538127660751
1738680912.418329,520,-0.046522241085767746
1738680990.051898,523,-0.051669858396053314
