Wall time,Step,Value
1738667417.3324168,0,-239.5789794921875
1738667475.999857,3,-243.42611694335938
1738667496.340366,4,-207.76556396484375
1738667630.206931,10,-72.1517105102539
1738667654.6323402,11,-56.249107360839844
1738667730.3744164,14,-24.625320434570312
1738667756.299375,15,-22.562192916870117
1738667834.075489,18,-11.249262809753418
1738667860.1965961,19,-8.999628067016602
1738667886.422706,20,-8.109956741333008
1738667939.092539,22,-8.74604320526123
1738667965.2656136,23,-5.697115898132324
1738668044.733188,26,-11.306222915649414
1738668070.9291544,27,-6.067198753356934
1738668228.635785,33,-5.593128204345703
1738668308.0833309,36,-7.836863994598389
1738668334.536293,37,-8.289831161499023
1738668361.076573,38,-5.4421210289001465
1738668387.3118227,39,-6.078481674194336
1738668413.6410694,40,-7.878284454345703
1738668598.9532242,47,-5.8507819175720215
1738668625.4419866,48,-5.862400054931641
1738668652.0781765,49,-3.7842156887054443
1738668705.0249205,51,-3.714257001876831
1738668731.2486901,52,-5.593319892883301
1738668784.1507845,54,-5.073879241943359
1738668863.1442041,57,-5.831230163574219
1738668942.1640306,60,-4.728395462036133
1738668968.561734,61,-4.388552188873291
1738668995.0936697,62,-4.515203475952148
1738669021.1485798,63,-6.347826957702637
1738669073.560449,65,-7.1201887130737305
1738669099.6517878,66,-7.4237518310546875
1738669125.7696068,67,-5.466788291931152
1738669152.2072036,68,-6.479450225830078
1738669204.3383052,70,-4.190425872802734
1738669230.3552907,71,-9.041309356689453
1738669387.2180552,77,-6.90027379989624
1738669439.556477,79,-4.08176326751709
1738669465.6548986,80,-2.873976707458496
1738669518.1715057,82,-5.947589874267578
1738669544.4478037,83,-6.644517421722412
1738669596.8537002,85,-2.0728869438171387
1738669700.9977198,89,-2.7194113731384277
1738669727.2447934,90,-2.952557325363159
1738669857.8649604,95,-3.4890871047973633
1738669962.040527,99,-2.9627857208251953
1738669988.0807135,100,-2.275604248046875
1738670066.8258579,103,-2.1823484897613525
1738670144.8800993,106,-1.5012073516845703
1738670171.192732,107,-1.6908280849456787
1738670223.606591,109,-6.988685131072998
1738670353.8233013,114,-0.8710522651672363
1738670406.3717027,116,-1.0565252304077148
1738670536.5499337,121,-15.21915340423584
1738670640.382998,125,-1.0527265071868896
1738670666.3609915,126,-1.3061437606811523
1738670718.6762404,128,-1.7734911441802979
1738670770.9949079,130,-1.4687684774398804
1738670797.0901718,131,-1.1143689155578613
1738670823.2195034,132,-0.7409696578979492
1738670928.2727053,136,-1.904128074645996
1738670954.5173252,137,-0.907756507396698
1738671111.632446,143,-0.7505275011062622
1738671137.8009048,144,-2.8416202068328857
1738671190.230664,146,-0.7654130458831787
1738671216.3393204,147,-0.8359860181808472
1738671294.792593,150,-0.35378003120422363
1738671477.425652,157,-0.5044028162956238
1738671529.643349,159,-0.3957386016845703
1738671555.8081524,160,-0.4453229308128357
1738671608.2017763,162,-1.8807835578918457
1738671660.1564791,164,-0.4436289072036743
1738671712.2134175,166,-1.0887877941131592
1738671816.8934891,170,-0.5281792879104614
1738671843.1261382,171,-0.5858780145645142
1738671869.3150713,172,-0.741948127746582
1738671947.4804409,175,-0.4713270664215088
1738671973.5728087,176,-0.606389045715332
1738671999.4491234,177,-0.2968795895576477
1738672025.6919167,178,-0.5064791440963745
1738672077.7977993,180,-1.0658440589904785
1738672103.9372692,181,-0.4459262788295746
1738672182.3208525,184,-0.2316133975982666
1738672208.788581,185,-0.859578549861908
1738672234.9456296,186,-0.6631990075111389
1738672313.0627341,189,-0.358844131231308
1738672339.4102528,190,-0.57706218957901
1738672365.6002283,191,-0.6053394079208374
1738672391.7062213,192,-0.4975184202194214
1738672470.1372032,195,-0.3518860340118408
1738672574.5937555,199,-0.21504327654838562
1738672600.6345549,200,-0.226048082113266
1738672652.5831532,202,-0.3800947666168213
1738672678.5116901,203,-0.32974332571029663
1738672704.5482767,204,-0.32141658663749695
1738672730.4938107,205,-0.3322449028491974
