Wall time,Step,Value
1738667417.3322299,0,-3.2528140544891357
1738667475.9996312,3,-3.0390610694885254
1738667496.3401814,4,-2.9472837448120117
1738667630.2067597,10,-1.7452921867370605
1738667654.6321855,11,-1.5326297283172607
1738667730.3740125,14,-1.0826330184936523
1738667756.299171,15,-0.9959847927093506
1738667834.0751362,18,-0.7771782875061035
1738667860.1963823,19,-0.7768329977989197
1738667886.4224975,20,-0.7636050581932068
1738667939.0923376,22,-0.6929657459259033
1738667965.265489,23,-0.6491625905036926
1738668044.732949,26,-0.6573746204376221
1738668070.9286335,27,-0.5883283019065857
1738668228.6355867,33,-0.5762940645217896
1738668308.0831094,36,-0.5624718070030212
1738668334.5361006,37,-0.5703318119049072
1738668361.0763948,38,-0.5678964853286743
1738668387.3116117,39,-0.5762580633163452
1738668413.6409092,40,-0.5824886560440063
1738668598.952983,47,-0.5254619121551514
1738668625.4417849,48,-0.5303669571876526
1738668652.0779853,49,-0.5037066340446472
1738668705.0247324,51,-0.4743589758872986
1738668731.2484508,52,-0.5264980792999268
1738668784.150577,54,-0.4677523076534271
1738668863.14402,57,-0.5244928598403931
1738668942.1638162,60,-0.5245886445045471
1738668968.5615191,61,-0.537898063659668
1738668995.0935385,62,-0.5351772308349609
1738669021.1484237,63,-0.576108992099762
1738669073.559984,65,-0.5416213274002075
1738669099.65153,66,-0.5516881942749023
1738669125.769415,67,-0.5554219484329224
1738669152.2069898,68,-0.595069408416748
1738669204.338106,70,-0.5928131341934204
1738669230.3551626,71,-0.5936447978019714
1738669387.2178757,77,-0.5779711604118347
1738669439.5562756,79,-0.5992974042892456
1738669465.6546924,80,-0.5602880120277405
1738669518.171322,82,-0.5828227400779724
1738669544.4476132,83,-0.6035090684890747
1738669596.8534896,85,-0.5559237003326416
1738669700.997526,89,-0.5866422653198242
1738669727.2445922,90,-0.5830149054527283
1738669857.8647363,95,-0.5950629115104675
1738669962.040348,99,-0.5731553435325623
1738669988.0805502,100,-0.5870242118835449
1738670066.8256588,103,-0.5049397945404053
1738670144.879912,106,-0.5363483428955078
1738670171.1925495,107,-0.4948984980583191
1738670223.6063888,109,-0.5152879953384399
1738670353.8231137,114,-0.49051040410995483
1738670406.3715513,116,-0.520757794380188
1738670536.5495963,121,-0.5301671028137207
1738670640.3827674,125,-0.506503701210022
1738670666.3608148,126,-0.49648794531822205
1738670718.6760397,128,-0.4960690438747406
1738670770.9947093,130,-0.5020374655723572
1738670797.089902,131,-0.502345085144043
1738670823.219319,132,-0.4838712811470032
1738670928.272584,136,-0.49685654044151306
1738670954.5167184,137,-0.4893696904182434
1738671111.6322563,143,-0.5125913023948669
1738671137.800746,144,-0.4902278184890747
1738671190.230481,146,-0.4745524823665619
1738671216.3391366,147,-0.48166757822036743
1738671294.7923863,150,-0.43747222423553467
1738671477.4254582,157,-0.4354035556316376
1738671529.6431577,159,-0.4262882471084595
1738671555.807881,160,-0.4468590021133423
1738671608.201518,162,-0.4501572549343109
1738671660.1562955,164,-0.467564195394516
1738671712.2132356,166,-0.49744975566864014
1738671816.8932214,170,-0.4696051776409149
1738671843.125914,171,-0.45960506796836853
1738671869.3148742,172,-0.47053074836730957
1738671947.4802384,175,-0.4483399987220764
1738671973.5726738,176,-0.4597737193107605
1738671999.4489427,177,-0.4256536364555359
1738672025.691635,178,-0.45183444023132324
1738672077.797559,180,-0.4539448916912079
1738672103.9371188,181,-0.44129252433776855
1738672182.3206694,184,-0.44151028990745544
1738672208.7884073,185,-0.4551304280757904
1738672234.9454997,186,-0.453122615814209
1738672313.0626085,189,-0.4077140688896179
1738672339.4100738,190,-0.415523499250412
1738672365.600065,191,-0.43348002433776855
1738672391.7059922,192,-0.43669480085372925
1738672470.1370225,195,-0.4170733690261841
1738672574.5933857,199,-0.4000149667263031
1738672600.6343386,200,-0.4342864453792572
1738672652.5829754,202,-0.45466718077659607
1738672678.5115561,203,-0.4502449929714203
1738672704.5480506,204,-0.4241880774497986
1738672730.4935775,205,-0.42567116022109985
1738672782.5231118,207,-0.41543275117874146
1738672834.8523693,209,-0.4196946620941162
1738672886.881784,211,-0.4079059958457947
1738672938.703348,213,-0.43026047945022583
1738672990.781825,215,-0.42651864886283875
1738673016.8944025,216,-0.4141351580619812
1738673068.8637583,218,-0.40829595923423767
1738673094.841164,219,-0.4249260425567627
1738673120.7803755,220,-0.4130267798900604
1738673146.952419,221,-0.41598576307296753
1738673173.075398,222,-0.40384936332702637
1738673225.1134932,224,-0.41170284152030945
1738673251.1165392,225,-0.4040767550468445
1738673355.4053755,229,-0.4179617762565613
1738673511.838645,235,-0.3983151614665985
1738673564.005669,237,-0.39764487743377686
1738673590.1017597,238,-0.41202735900878906
1738673616.1114166,239,-0.4170491099357605
1738673668.5359154,241,-0.42013460397720337
1738673694.662055,242,-0.390277236700058
1738673746.7533715,244,-0.4118891656398773
1738673772.9228106,245,-0.40131959319114685
1738673798.9857268,246,-0.3954116702079773
1738673825.1232045,247,-0.40412938594818115
1738673955.869464,252,-0.40480470657348633
1738673982.0651705,253,-0.39152249693870544
1738674008.0282948,254,-0.3949716091156006
1738674086.4072142,257,-0.3871334493160248
1738674112.4964986,258,-0.4068759083747864
1738674138.7007327,259,-0.3929084241390228
1738674164.9323542,260,-0.3980899453163147
1738674217.122224,262,-0.401991069316864
1738674425.8219178,270,-0.3991944193840027
1738674451.9137523,271,-0.3808746933937073
1738674529.562964,274,-0.4017733335494995
1738674555.5275266,275,-0.40452179312705994
1738674581.5722616,276,-0.40039417147636414
1738674633.595758,278,-0.41610392928123474
1738674685.623841,280,-0.4101434648036957
1738674737.6843524,282,-0.40985405445098877
1738674763.7062101,283,-0.4024551808834076
1738674815.8696482,285,-0.4204915165901184
1738674868.2825065,287,-0.4052264094352722
1738674894.4010735,288,-0.39792555570602417
1738674946.5471835,290,-0.38064154982566833
1738675076.382154,295,-0.41891950368881226
1738675102.4333086,296,-0.4117063879966736
1738675128.3813,297,-0.40497058629989624
1738675154.3065405,298,-0.415847510099411
1738675310.1240923,304,-0.42378896474838257
1738675362.2901814,306,-0.42553091049194336
1738675414.3838365,308,-0.4129418730735779
1738675440.3275795,309,-0.4064203202724457
1738675518.4835057,312,-0.39985471963882446
1738675544.7208037,313,-0.41679471731185913
1738675622.5371795,316,-0.41922062635421753
1738675674.36877,318,-0.4240908622741699
1738675700.2330863,319,-0.4125173091888428
1738675778.4008102,322,-0.39537152647972107
1738675830.4400184,324,-0.4090878367424011
1738675960.6303341,329,-0.3995099663734436
1738675986.6197145,330,-0.40453752875328064
1738676012.6712894,331,-0.41126272082328796
1738676038.608848,332,-0.42359960079193115
1738676168.4522326,337,-0.41071173548698425
1738676194.3475904,338,-0.42145857214927673
1738676246.137062,340,-0.3999635577201843
1738676324.3655348,343,-0.4135497212409973
1738676350.330109,344,-0.40555620193481445
