Wall time,Step,Value
1738667417.3316107,0,-0.43480178713798523
1738667475.9993968,3,-0.3955923020839691
1738667496.3398151,4,-0.36746498942375183
1738667630.2059126,10,-0.1674882173538208
1738667654.6320074,11,-0.14308860898017883
1738667730.3733125,14,-0.08944565057754517
1738667756.298391,15,-0.08127421140670776
1738667834.0744936,18,-0.058724187314510345
1738667860.1956742,19,-0.05610618740320206
1738667886.421726,20,-0.05311950296163559
1738667939.0916598,22,-0.04829602688550949
1738667965.2648435,23,-0.0454958900809288
1738668044.7326276,26,-0.04271288961172104
1738668070.9281244,27,-0.0418880358338356
1738668228.6350384,33,-0.038975704461336136
1738668308.0823078,36,-0.03792678192257881
1738668334.535655,37,-0.038967281579971313
1738668361.0759115,38,-0.038433872163295746
1738668387.3110445,39,-0.03941445052623749
1738668413.6401863,40,-0.03915403038263321
1738668598.9522069,47,-0.03805208206176758
1738668625.4410498,48,-0.0376235768198967
1738668652.0772738,49,-0.0351376086473465
1738668705.024197,51,-0.037040963768959045
1738668731.2476275,52,-0.03804171830415726
1738668784.1499183,54,-0.03699348494410515
1738668863.1433446,57,-0.03935524821281433
1738668942.1630297,60,-0.04051709175109863
1738668968.5609257,61,-0.04204072803258896
1738668995.0928586,62,-0.04161364957690239
1738669021.1476712,63,-0.04424489289522171
1738669073.559793,65,-0.045966532081365585
1738669099.6508875,66,-0.04474976286292076
1738669125.7685256,67,-0.04586353898048401
1738669152.206281,68,-0.046037059277296066
1738669204.3376188,70,-0.04517919570207596
1738669230.3548677,71,-0.047337666153907776
1738669387.2175531,77,-0.0443875715136528
1738669439.5556703,79,-0.04477221891283989
1738669465.654424,80,-0.04344547539949417
1738669518.1709287,82,-0.0448794886469841
1738669544.4471474,83,-0.04625331610441208
1738669596.8529997,85,-0.04334603250026703
1738669700.9970758,89,-0.04446452483534813
1738669727.2441344,90,-0.04399552941322327
1738669857.8641644,95,-0.0442124679684639
1738669962.0398765,99,-0.043846167623996735
1738669988.0800161,100,-0.043032966554164886
1738670066.8251793,103,-0.04099699854850769
1738670144.8794367,106,-0.04106755554676056
1738670171.192088,107,-0.04017583280801773
1738670223.6056852,109,-0.04027213901281357
1738670353.8226264,114,-0.03944157809019089
1738670406.371124,116,-0.03891883045434952
1738670536.549159,121,-0.040457941591739655
1738670640.3824427,125,-0.039397068321704865
1738670666.360562,126,-0.038625702261924744
1738670718.6753798,128,-0.037974704056978226
1738670770.994393,130,-0.03998980671167374
1738670797.089126,131,-0.03882379084825516
1738670823.218803,132,-0.03907671198248863
1738670928.2721636,136,-0.03961306810379028
1738670954.516282,137,-0.038858167827129364
1738671111.6317427,143,-0.038990311324596405
1738671137.80001,144,-0.03904257342219353
1738671190.2298691,146,-0.036812812089920044
1738671216.3386197,147,-0.03786011040210724
1738671294.7920108,150,-0.03730471432209015
1738671477.4248066,157,-0.036652445793151855
1738671529.642435,159,-0.036712564527988434
1738671555.807034,160,-0.03722184896469116
1738671608.2006958,162,-0.03732793778181076
1738671660.1556053,164,-0.037839002907276154
1738671712.2125173,166,-0.038581352680921555
1738671816.892458,170,-0.03802817314863205
1738671843.1251628,171,-0.03828330710530281
1738671869.314569,172,-0.037370648235082626
